population,cohort,endpoint,threshold,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,youden,N,events,non_events,sensitivity_low,sensitivity_high,specificity_low,specificity_high,PPV_low,PPV_high,NPV_low,NPV_high,missed_among_positive,missed_among_positive_low,missed_among_positive_high,missed_per100,missed_per100_low,missed_per100_high,unnecessary_per100,unnecessary_per100_low,unnecessary_per100_high,avoided_negative_per100,avoided_negative_per100_low,avoided_negative_per100_high
Training,Train,Any_LNM,0.0,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.0471285480508985e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.096478196143185e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.1481536214968817e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.2022644346174132e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.2589254117941661e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.3182567385564074e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.3803842646028838e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.445439770745928e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.5135612484362072e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.584893192461114e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.6595869074375596e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.7378008287493763e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.8197008586099826e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.9054607179632483e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,1.9952623149688787e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,2.0892961308540407e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,2.1877616239495517e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,2.2908676527677747e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,2.3988329190194897e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
Training,Train,Any_LNM,2.5118864315095823e-06,394,312,0,0,1.0,0.0,0.5580736543909348,,0.0,706,394,312,0.9903442470976223,1.0,0.0,0.01216261739366824,0.5212247907298218,0.5942939620579231,,,0.0,0.0,0.009655752902377775,0.0,4.336808689942018e-17,0.5411713803073986,44.19263456090651,40.57060379420768,47.87752092701782,0.0,4.336808689942018e-17,0.5411713803073986
